number;valid_to;call_sign;category;transmitter_power;name_type_station;emission;input_frequency;output_frequency;station_location
DC.WML.5101.5117.2023.3;2028-10-13;SR4BPA;Kategoria5;15;PrzekaznikAPRS;"";432.5, 144.8;432.5, 144.8;Bia³a Piska
DC.WML.5101.5118.2023.2;2028-10-13;SR5ZQ;Kategoria5;15;CyfrowyPrzemiennik;"";431.65;439.25;Krze Du¿e
DC.WML.5101.5119.2023.2;2028-10-13;SR8OSP;Kategoria5;15;PrzekaznikAPRS;"";434.855, 432.5, 144.8;434.855, 432.5, 144.8;Zastawie
DC.WML.5101.5120.2023.2;2028-10-13;SR6LB;Kategoria5;15;Radiolatarnia;"";"";1296.785, 10368.785;Lubin
DC.WML.5101.5205.2023.2;2028-10-19;SR5DLA;Kategoria5;15;PrzekaznikAPRS;"";144.8;144.8;£acha
DC.WML.5101.5306.2023.2;2028-10-27;SR6RC;Kategoria5;15;CyfrowyPrzemiennik;"";430.5;430.5, 438.1;Wroc³aw
DC.WML.5101.5310.2023.2;2028-10-27;SR6NC;Kategoria5;15;CyfrowyPrzemiennik;"";433.8;433.8;Nowogrodziec
DC.WML.5101.5399.2023.2;2028-11-06;SR4S;Kategoria5;15;AnalogowyPrzemiennikFM;"";144.975;145.575;Sokó³ka
DC.WML.5101.5717.2023.2;2028-11-21;SR4BA;Kategoria5;15;AnalogowyPrzemiennikFM;"";430.9375;438.5375;Kiertyny Ma³e
DC.WML.5101.5743.2023.2;2028-09-01;SR4LG;Kategoria5;15;PrzekaznikAPRS, AnalogowyPrzemiennikFM;"";144.8, 433.755, 434.855, 438.725;144.8, 433.755, 434.855, 431.125;Gie³czyn
DC.WML.5101.5785.2023.2;2028-12-31;SR8BCH;Kategoria5;10;PrzekaznikAPRS;"";144.8;144.8;Che³m
DC.WML.5101.5808.2023.3;2028-11-30;SR5ML;Kategoria5;15;PrzekaznikAPRS;"";144.8;144.8;M³awa
DC.WML.5101.5810.2023.2;2028-11-30;SR5QDMR;Kategoria5;15;CyfrowyPrzemiennik;"";430.925;438.525;Siedlce
DC.WML.5101.5814.2023.2;2028-11-30;SR5LA;Kategoria5;15;PrzemiennikFMDV;"";1270.25;1298.25;Moszna-Parcela
DC.WML.5101.5927.2023.3;2028-12-15;SR7WXSI;Kategoria5;15;StacjaPogodowa;"";144.95;144.95;K³ocko
DC.WML.5101.6010.2023.2;2028-12-18;SR4PA;Kategoria5;15;PrzemiennikFMDV;"";144.8, 431.4, 145.175;144.8, 439, 145.775;Pas³êk
DC.WML.5101.6016.2023.2;2028-12-19;SR9RR;Kategoria5;15;PrzemiennikFMDV;"";431.5;439.1;Góra Przehyba
DC.WML.5101.6023.2023.2;2028-12-19;SR5AWK;Kategoria5;15;PrzemiennikFMDV;"";431.6125;431.6125;Warszawa
DC.WML.5101.13.2024.2;2029-01-03;SR5MRK;Kategoria5;15;PrzemiennikFMDV;"";431.6125;431.6125;Rybnik
DC.WML.5101.14.2024.2;2029-01-03;SR8AGA;Kategoria5;15;PrzemiennikFMDV;"";431.75;439.35;Domaradz - Porêby
DC.WML.5101.15.2024.2;2029-01-30;SR4MWO;Kategoria5;15;PrzemiennikFMDV;"";430.55;438.15;Mr¹gowo
DC.WML.5101.350.2024.2;2029-01-23;SR4AUV;Kategoria5;15;AnalogowyPrzemiennikFM;"";145.0875;145.6875;Augustów
DC.WML.5101.388.2024.2;2029-01-23;SR3KK;Kategoria5;15;AnalogowyPrzemiennikFM;"";431.25;438.85;Kalisz
DC.WML.5101.433.2024.2;2029-01-24;SR5NEB;Kategoria5;15;PrzekaznikAPRS;"";432.5, 144.8;432.5, 144.8;Grodzisk Maz.
DC.WML.5101.434.2024.2;2029-01-24;SR6DB;Kategoria5;15;CyfrowaStacjaWezlowa;"";70.26, 144.8, 144.975, 438.345, 2387, 2397;70.26, 144.8, 144.975, 438.345, 2387, 2397;Wa³brzych
DC.WML.5101.495.2024.2;2029-01-26;SR5NWA;Kategoria5;15;PrzekaznikAPRS;"";432.5, 144.8;432.5, 144.8;Warszawa
DC.WML.5101.496.2024.2;2029-01-26;SR5FUS;Kategoria5;15;CyfrowyPrzemiennik;"";430.55;438.15;Radom
DC.WML.5101.626.2024.2;2029-01-31;SR3PN;Kategoria5;15;PrzekaznikAPRS;"";144.8;144.8;Pniewy
DC.WML.5101.628.2024.2;2029-02-01;SR2CPA;Kategoria5;15;PrzekaznikAPRS;"";432.5, 144.8, 433.8, 433.775, 434.855;432.5, 144.8, 433.8, 433.775, 434.855;Tonin
DC.WML.5101.629.2024.2;2029-02-01;SR2SAT;Kategoria5;15;PrzekaznikAPRS;"";144.8;144.8;Samoci¹¿ek
DC.WML.5101.635.2024.3;2029-02-01;SR8BD;Kategoria5;15;AnalogowyPrzemiennikFM;"";70.275, 431.275;70.275, 438.875;Bia³a Podlaska
DC.WML.5101.636.2024.3;2029-02-01;SR8NDB;Kategoria5;15;PrzekaznikAPRS;"";432.5, 144.8;432.5, 144.8;Bia³a Podlaska
DC.WML.5101.638.2024.2;2029-02-01;SR2ATJ;Kategoria5;15;PrzekaznikAPRS;"";144.8, 433.775, 434.855;144.8, 433.775, 434.855;Pakoœæ
DC.WML.5101.639.2024.2;2029-02-01;SR5WWE;Kategoria5;15;PrzekaznikAPRS;"";432.5, 144.8;432.5, 144.8;Polków-Saga³y
DC.WML.5101.719.2024.2;2029-02-06;SR6UVY;Kategoria5;15;PrzemiennikFMDV;"";431.6125;439.2125;O³awa
DC.WML.5101.774.2024.2;2029-02-07;SR8LBT;Kategoria5;15;CyfrowyPrzemiennik;"";431.7;430.1;Lublin
DC.WML.5101.863.2024.3;2029-02-14;SR9TZN;Kategoria5;15;AnalogowyPrzemiennikFM;"";430.6375;438.2375;Katowice
DC.WML.5101.870.2024.2;2029-02-14;SR2INO;Kategoria5;15;PrzekaznikAPRS;"";434.855, 144.8;434.855, 144.8;Inowroc³aw
DC.WML.5101.862.2024.4;2029-02-16;SR5DVR;Kategoria5;15;CyfrowyPrzemiennik;"";439.3625;431.7625;Radom
DC.WML.5101.991.2024.3;2029-02-22;SR9MIR;Kategoria5;15;CyfrowyPrzemiennik;"";10155, 5720.025, 2315, 1298.025, 438.5625, 144.8, 144.3938, 50.51, 29.25, 24.925, 21.092, 18.105, 10.135, 14.105, 7.047, 3.59;10155, 5720.025, 2315, 1298.025, 438.5625, 144.8, 144.3938, 50.51, 29.25, 24.925, 21.092, 18.105, 10.135, 14.105, 7.047, 3.59;Chrzanów
DC.WML.5101.1046.2024.2;2029-04-30;SR1D;Kategoria5;15;PrzekaznikAPRS;"";144.8;144.8;Dar³owo
DC.WML.5101.1207.2024.2;2029-02-06;SR2CSR;Kategoria5;15;PrzekaznikAPRS;"";434.855, 144.8;434.855, 144.8;Bydgoszcz
DC.WML.5101.1414.2024.2;2029-03-11;SR8WXE;Kategoria5;15;PrzekaznikAPRS;"";144.8;144.8;Rzeszów
DC.WML.5101.1427.2024.2;2029-03-11;SR9KM;Kategoria5;15;PrzemiennikFMDV;"";431.375;438.975;Potêpa
DC.WML.5101.1432.2024.2;2029-02-21;SR5ID;Kategoria5;15;PrzekaznikAPRS, StacjaPogodowa, PrzemiennikFMDV;"";144.8, 145.125, 431.4375;144.8, 145.725, 439.0375;Kuflew
DC.WML.5101.1499.2024.2;2029-03-14;SR9RB;Kategoria5;15;PrzemiennikFMDV;"";431.3875;438.9875;Rybnik
DC.WML.5101.1525.2024.2;2029-03-14;SR2LST;Kategoria5;15;PrzekaznikAPRS;"";433.175, 433.8, 432.5, 144.8, 433.775, 434.855;433.175, 433.8, 432.5, 144.8, 433.775, 434.855;Strzelewo
DC.WML.5101.1526.2024.2;2029-03-14;SR5AWG;Kategoria5;15;PrzekaznikAPRS;"";144.8;144.8;Garwolin
DC.WML.5101.1527.2024.2;2029-03-14;SR5FWG;Kategoria5;15;CyfrowyPrzemiennik;"";430.65;438.25;Garwolin
DC.WML.5101.1702.2024.4;2029-03-21;SR7SZ;Kategoria5;15;PrzemiennikFMDV;"";145.0625, 431.5875;145.6625, 439.1875;Krzywo³êcz
DC.WML.5101.1756.2024.2;2029-03-22;SR4U;Kategoria5;10;AnalogowyPrzemiennikFM;"";145.125;145.725;Bia³ystok
DC.WML.5101.1977.2024.2;2029-04-05;SR23E;Kategoria5;15;AnalogowyPrzemiennikFM;"";1270.6;1298.6;Myœlenice
DC.WML.5101.1986.2024.2;2029-04-05;SR3Y;Kategoria5;15;CyfrowaStacjaWezlowa;"";434.05, 144.85;434.05, 144.85;Poznañ
DC.WML.5101.1988.2024.2;2029-04-05;SR3KFM;Kategoria5;15;PrzekaznikAPRS;"";144.8;144.8;Konin
DC.WML.5101.2116.2024.2;2029-03-25;SR8LST;Kategoria5;15;CyfrowyPrzemiennik;"";430.375;438.375;Œwidnik
DC.WML.5101.2170.2024.2;2029-04-12;SR5WF;Kategoria5;15;PrzekaznikAPRS, PrzemiennikFMDV;"";434.855, 144.8, 431.6;434.855, 144.8, 439.2;Warszawa
DC.WML.5101.2171.2024.2;2029-04-30;SR3WXD;Kategoria5;10;AnalogowyPrzemiennikFM;"";144.8;144.8;Drzonków
DC.WML.5101.2221.2024.2;2029-04-15;SR7OS;Kategoria5;15;AnalogowyPrzemiennikFM;"";431.875;439.475;Ostrowiec Œwiêtokrzyski
DC.WML.5101.2336.2024.2;2029-04-22;SR5E;Kategoria5;15;PrzekaznikAPRS, AnalogowyPrzemiennikFM;"";144.8, 431.775;144.8, 439.375;Warszawa
DC.WML.5101.2432.2024.2;2029-05-28;SR8LHN;Kategoria5;10;Radiolatarnia;"";1296.984;1296.984;Rakowiska
DC.WML.5101.2472.2024.2;2029-04-29;SR4LU;Kategoria5;15;PrzemiennikFMDV;"";145.0875, 431.775;145.6875, 439.375;Tuszewo
DC.WML.5101.2473.2024.2;2029-04-29;SR1WR;Kategoria5;15;PrzemiennikFMDV;"";431.45;439.05;Rymañ
DC.WML.5101.2566.2024.2;2029-05-14;SR5MM;Kategoria5;15;AnalogowyPrzemiennikFM;"";431.35;438.95;Miñsk Mazowiecki
DC.WML.5101.2568.2024.5;2029-05-02;SR4BL;Kategoria5;15;PrzekaznikAPRS, AnalogowyPrzemiennikFM;"";144.8, 431;144.8, 438.6;£om¿a
DC.WML.5101.2296.2024.5;2029-05-16;SR8KSR;Kategoria5;15;PrzemiennikFMDV;"";431.325;438.925;Krosno
DC.WML.5101.2906.2024.2;2029-05-17;SR8TPM;Kategoria5;15;AnalogowyPrzemiennikFM;"";145.3375;145.3375;Wi¹zownica
DC.WML.5101.2916.2024.2;2029-05-17;SR0FUN;Kategoria5;15;AnalogowyPrzemiennikATV, PrzemiennikFMDV, PrzekaznikAPRS, StacjaPogodowaAPRS;"";432.7, 430.4, 434.855, 433.9, 433.775, 144.8, 144.7;5825, 5705, 3405, 2360, 1280, 439.7, 438, 437.6, 433.4, 432.5, 434.855, 433.9, 433.775, 144.8, 144.7, 144.5;Nowy S¹cz
DC.WML.5101.2975.2024.2;2029-05-22;SR8LKR;Kategoria5;15;PrzemiennikFMDV;"";430.95;438.55;Kraœnik
DC.WML.5101.2979.2024.2;2029-05-22;SR7TWA;Kategoria5;15;Radiolatarnia;"";"";14.0956, 18.1046, 21.0946, 24.9246, 28.1246, 28.2532;£ódŸ
DC.WML.5101.3228.2024.2;3029-06-05;SR8RK;Kategoria5;15;PrzekaznikAPRS;"";434.855;434.855;Krosno
DC.WML.5101.3405.2024.2;2029-06-14;SR4JLT;Kategoria5;15;CyfrowyPrzekaznik;"";432.5, 144.95, 144.8;432.5, 144.95, 144.8;Narewka
DC.WML.5101.3406.2024.2;2029-06-14;SR4WX;Kategoria5;15;CyfrowyPrzekaznik;"";432.5, 144.95, 144.8;432.5, 144.95, 144.8;Bia³ystok
DC.WML.5101.3455.2024.2;2029-06-12;SR8LUB;Kategoria5;15;AnalogowyPrzemiennikFM;"";431.8;439.4;Lublin
DC.WML.5101.3478.2024.2;2025-09-03;SR8WXL;Kategoria5;15;StacjaPogodowaAPRS;"";434.855, 144.8;434.855, 144.8;Lubatowa
DC.WML.5101.3514.2024.2;2029-06-14;SR9DKA;Kategoria5;15;PrzemiennikFMDV;"";430.9;438.5;Siemianowice Œl¹skie
DC.WML.5101.3515.2024.2;2029-06-14;SR4SUW;Kategoria5;15;CyfrowyPrzekaznik;"";434.7;434.7;Suwa³ki
DC.WML.5101.3516.2024.2;2029-06-14;SR3X;Kategoria5;15;PrzemiennikFMDV;"";431.4375, 145.1625;439.0375, 145.7625;Poznañ
DC.WML.5101.3517.2024.2;2029-06-17;SR8FM;Kategoria5;15;PrzemiennikFMDV;"";434.4;434.4;Zawierzbie
DC.WML.5101.3513.2024.2;2029-06-17;SR5ZOC;Kategoria5;15;CyfrowaStacjaWezlowa;"";434.855, 145.5875, 432.5, 144.95, 144.8;434.855, 145.5875, 432.5, 144.95, 144.8;Nowosielec
DC.WML.5101.3552.2024.2;2025-01-29;SR9NSK;Kategoria5;15;StacjaPogodowaAPRS;"";5745, 144.8, 434.675, 2387, 5690;5745, 144.8, 434.675, 2387, 5690;Góra Skrzyczne
DC.WML.5101.3551.2024.3;2029-06-17;SR9NRA;Kategoria5;15;PrzekaznikAPRS;"";144.8;144.8;Rajcza Graberki
DC.WML.5101.3743.2024.3;2029-06-25;SR6L;Kategoria5;15;PrzemiennikFMDV;"";431.6;439.2;Legnica
DC.WML.5101.4107.2024.2;2029-07-12;SR0LORA;Kategoria5;5;CyfrowyPrzekaznik;"";438.115;438.115;Radzymin
DC.WML.5101.4108.2024.2;2029-07-12;SR3DGW;Kategoria5;15;CyfrowyPrzemiennik;"";430.95;438.55;Gorzów Wielkopolski
DC.WML.5101.4110.2024.2;2029-07-12;SR9SIM;Kategoria5;15;CyfrowyPrzemiennik;"";431.4375;439.0375;Sosnowiec
DC.WML.5101.4118.2024.2;2029-07-12;SR8PKT;Kategoria5;15;PrzekaznikAPRS;"";434.855, 144.8;434.855, 144.8;Wierzawice
DC.WML.5101.4373.2024.2;2029-07-23;SR9NSC;Kategoria5;15;AnalogowyPrzemiennikFM;"";145.3375;145.3375;Nowy S¹cz
DC.WML.5101.4448.2024.2;2029-07-29;SR3PO;Kategoria5;15;PrzemiennikFMDV;"";1270.4, 431.6;1298.4, 439.2;Poznañ
DC.WML.5101.4494.2024.2;2029-08-01;SR9WXJ;Kategoria5;5;PrzekaznikAPRS;"";144.8;144.8;Miêdzybrodzie ¯ywieckie
DC.WML.5101.4626.2024.2;2029-08-08;SR9W;Kategoria5;15;AnalogowyPrzemiennikFM;"";145;145.6;Makowica
DC.WML.5101.4627.2024.2;2029-10-11;SR5MS;Kategoria5;15;CyfrowyPrzemiennik;"";431.2125;438.8125;Nowy Dwór Maz.
DC.WML.5101.5220.2024.3;2029-09-10;SR6TT;Kategoria5;15;AnalogowyPrzemiennikFM;"";431.625;439.225;Stare Rochowice
DC.WML.5101.5224.2024.2;2029-09-10;SR2LMU;Kategoria5;15;PrzekaznikAPRS;"";144.8, 434.855, 433.775, 433.8, 432.5;144.8, 434.855, 433.775, 433.8, 432.5;Murczynek
DC.WML.5101.5248.2024.2;2029-09-17;SR8NLU;Kategoria5;15;AnalogowyPrzemiennikFM, PrzekaznikAPRS, StacjaPogodowaAPRS, CyfrowyPrzemiennik;"";431.325, 433.8, 432.5, 144.95, 144.85, 144.8, 144.6;431.325, 433.8, 432.5, 144.95, 144.85, 144.8, 144.6;Niedrzwica Du¿a
DC.WML.5101.5249.2024.3;2029-09-17;SR4SUU;Kategoria5;15;AnalogowyPrzemiennikFM;"";431.3;438.9;Suwa³ki
DC.WML.5101.5250.2024.2;2029-09-11;SR4PL;Kategoria5;15;AnalogowyPrzemiennikFM;"";431.975;439.575;Podleœna
DC.WML.5101.5251.2024.2;2029-09-11;SR1RES;Kategoria5;15;PrzekaznikAPRS;"";144.8;144.8;Resko
DC.WML.5101.5253.2024.2;2029-09-19;SR1AD;Kategoria5;15;Radiolatarnia;"";432.427, 144.427, 70.042, 50.427;432.427, 144.427, 70.042, 50.427;Szczecin
DC.WML.5101.5254.2024.2;2029-09-11;SR5ECHO;Kategoria5;15;AnalogowyPrzemiennikFM;"";145.7, 439.15;145.7, 439.15;Warszawa
DC.WML.5101.5255.2024.2;2029-09-11;SR0WX;Kategoria5;15;StacjaPogodowa;"";144.95, 434.95;144.95, 434.95;Warszawa
DC.WML.5101.5256.2024.2;2029-09-17;SR7UTM;Kategoria5;15;CyfrowyPrzemiennik;"";431.5;439.1;Tomaszów Mazowiecki
DC.WML.5101.5257.2024.2;2029-09-11;SR3ASE;Kategoria5;15;PrzekaznikAPRS;"";144.8;144.8;Œrem
DC.WML.5101.5352.2024.2;2028-05-19;SR9R;Kategoria5;15;PrzemiennikFMDV;"";431.4125;439.0125;Rybnik
DC.WML.5101.5533.2024.2;2029-10-24;SR7KGO;Kategoria5;15;AnalogowyPrzemiennikFM;"";433.25;145.275;£agiewniki
DC.WML.5101.5534.2024.2;2029-09-30;SR5KAC;Kategoria5;15;PrzekaznikAPRS;"";432.5, 144.8;432.5, 144.8;Kacprówek
DC.WML.5101.5532.2024.4;2029-09-30;SR4WA;Kategoria5;15;AnalogowyPrzemiennikFM;"";430.525;438.125;Wawrowice
DC.WML.5101.6222.2024.2;2029-05-22;SR3DAB;Kategoria5;15;PrzemiennikFMDV;"";431.45, 430.975, 145.1, 431.975, 145.275, 144.8, 432.5;439.05, 438.575, 145.7, 439.575, 145.275, 144.8, 432.5;Zalesie
DC.WML.5101.6223.2024.3;2029-11-08;SR4WA;Kategoria5;15;AnalogowyPrzemiennikFM;"";430.525;438.125;Wawrowice
DC.WML.5101.6224.2024.2;2029-09-11;SR8Y;Kategoria5;15;AnalogowyPrzemiennikFM;"";145.05;145.65;Rzeszów
DC.WML.5101.6225.2024.2;2029-11-08;SR8WX;Kategoria5;15;StacjaPogodowa;"";144.95;144.95;Pu³awy
DC.WML.5101.6227.2024.3;2029-11-08;SR9PSD;Kategoria5;15;PrzemiennikFMDV;"";431.7125;439.7125;Pszów
DC.WML.5101.6230.2024.2;2029-11-08;SR6LDV;Kategoria5;15;PrzemiennikFMDV;"";430.55, 430.65;438.15, 438.25;Legnica
DC.WML.5101.6233.2024.3;2029-11-08;SR9GLC;Kategoria5;15;PrzemiennikFMDV;"";431.15;439.225;Gliwice
DC.WML.5101.6315.2024.2;2030-01-29;SR5OK;Kategoria5;15;PrzemiennikFMDV;"";431.6625;439.2625;Kadzid³o
DC.WML.5101.6317.2024.2;2029-11-18;SR4LIN;Kategoria5;15;PrzemiennikFMDV, PrzekaznikAPRS;"";431.05, 144.8;438.65, 144.8;Jerzwa³d
DC.WML.5101.6318.2024.2;2029-11-18;SR4V;Kategoria5;15;CyfrowaStacjaWezlowa, PrzemiennikFMDV, PrzekaznikAPRS, StacjaPogodowa;"";438.1, 431.75, 145.1375, 144.925, 144.8;439.35, 438.1, 145.1375, 144.925, 144.8;Bia³ystok
DC.WML.5101.6338.2024.2;2029-11-18;SR9EMP;Kategoria5;1;PrzekaznikAPRS;"";434.85;434.85;Kraków
DC.WML.5101.6339.2024.2;2029-11-18;SR5Z;Kategoria5;15;PrzekaznikAPRS, StacjaPogodowaAPRS, StacjaPogodowa;"";434.95, 144.95, 144.8;434.95, 144.95, 144.8;Warszawa
DC.WML.5101.6429.2024.2;2029-11-20;SR7DBZ;Kategoria5;15;PrzemiennikFMDV;"";430.96;438.56;Busko Zdrój
DC.WML.5101.6363.2024.3;2029-11-20;SR7LM;Kategoria5;15;PrzemiennikFMDV;"";431.6;439.2;£ódŸ
DC.WML.5101.6507.2024.2;2029-11-22;SR3DKA;Kategoria5;15;CyfrowyPrzemiennik;"";430.8;438.4;Kalisz
DC.WML.5101.6343.2024.3;2029-11-26;SR7KFX;Kategoria5;15;PrzemiennikFMDV;"";431.65;439.25;Wielenin-Kolonia
DC.WML.5101.6579.2024.2;2029-11-27;SR2W;Kategoria5;15;AnalogowyPrzemiennikFM;"";431.425;439.025;W³oc³awek
DC.WML.5101.6598.2024.2;2029-11-29;SR9WXW;Kategoria5;;StacjaPogodowaAPRS;"";144.8;144.8;Wielki Rachowiec-górna stacja wyci¹gu narciarskiego
DC.WML.5101.6620.2024.3;2029-11-29;SR2WIL;Kategoria5;10;PrzekaznikAPRS;"";432.5, 144.8;432.5, 144.8;Gdañsk
DC.WML.5101.6635.2024.2;2028-07-18;SR8MBR;Kategoria5;15;AnalogowyPrzemiennikFM, PrzekaznikAPRS, AnalogowyPrzemiennikATV;"";29.2, 434.855, 144.8, 145.2375, 50.54, 432.6;29.2, 434.855, 144.8, 145.2375, 50.54, 432.6;Tyczyn
DC.WML.5101.6636.2024.2;2026-11-18;SR8RSC;Kategoria5;15;PrzekaznikAPRS, AnalogowyPrzemiennikATV, AnalogowyPrzemiennikFM;"";434.855, 144.8, 431.6785, 145.2875;434.855, 144.8, 439.275, 145.2875;Boguchwa³a
DC.WML.5101.6640.2024.2;2029-12-02;SR9NLI;Kategoria5;15;StacjaPogodowa;"";5780, 5690, 2387, 431.525, 144.8;5780, 5690, 2387, 439.125, 144.8;Lipowa
DC.WML.5101.6663.2024.3;2029-12-04;SR9DJC;Kategoria5;15;PrzemiennikFMDV;"";145.1875;145.7875;Muszyna 
DC.WML.5101.6537.2024.4;2029-12-10;SR1TET;Kategoria5;15;CyfrowyPrzemiennik;"";430.025;431.625;Stargard
DC.WML.5101.6779.2024.2;2029-12-11;SR1NRS;Kategoria5;15;CyfrowyPrzekaznik;"";432.5, 144.9, 144.875, 144.8;432.5, 144.9, 144.875, 144.8;Stargard
DC.WML.5101.6845.2024.2;2029-12-16;SR9OMP;Kategoria5;15;CyfrowyPrzemiennik;"";431.3375;438.9375;Cieszyn
DC.WML.5101.6870.2024.2;2029-12-16;SR7TX;Kategoria5;15;CyfrowaStacjaWezlowa, StacjaPogodowa, PrzekaznikAPRS, PrzemiennikFMDV;"";144.8, 431.335, 438.935, 144.735, 145.335;144.8, 431.335, 438.935, 144.735, 145.335;Filipy
DC.WML.5101.6871.2024.2;2029-12-16;SR7FX;Kategoria5;15;PrzekaznikAPRS, StacjaPogodowa, PrzemiennikFMDV, CyfrowaStacjaWezlowa;"";144.8, 144.9875, 439.55, 145.5875, 145.0375, 145.6375, 431.95;144.8, 144.9875, 439.55, 145.5875, 145.0375, 145.6375, 431.95;Filipy
